txn_id,customer_id,order_date,order_month,base_aov,discount_amount,used_discount,returned,net_revenue
1,1,2023-05-03,1,507.59,152.28,True,False,355.31
2,1,2023-08-08,4,841.58,252.47,True,False,589.11
3,2,2023-05-14,0,727.18,0.0,False,False,727.18
4,2,2023-05-31,0,1019.13,0.0,False,False,1019.13
5,2,2023-05-28,0,964.86,0.0,False,True,0.0
6,3,2023-01-22,0,636.56,190.97,True,False,445.59
7,3,2023-01-23,0,1158.75,347.62,True,True,0.0
8,3,2023-01-28,0,1297.79,389.34,True,False,908.45
9,4,2023-05-31,0,987.99,0.0,False,False,987.99
10,4,2023-09-03,3,1021.32,0.0,False,False,1021.32
11,4,2023-11-17,6,1054.1,0.0,False,False,1054.1
12,5,2023-06-21,1,1095.02,0.0,False,False,1095.02
13,6,2023-05-28,2,618.21,185.46,True,False,432.75
14,6,2023-08-31,6,1191.92,0.0,False,False,1191.92
15,6,2023-09-25,6,1133.65,0.0,False,False,1133.65
16,7,2023-01-23,0,1015.24,0.0,False,False,1015.24
17,7,2023-02-10,1,936.84,0.0,False,False,936.84
18,7,2023-02-04,1,1161.46,0.0,False,False,1161.46
19,8,2023-02-22,0,1151.39,345.42,True,False,805.97
20,9,2023-03-19,0,1022.33,0.0,False,False,1022.33
21,9,2023-03-28,0,977.94,0.0,False,False,977.94
22,9,2023-03-27,0,675.12,0.0,False,False,675.12
23,9,2023-04-04,0,843.71,0.0,False,False,843.71
24,10,2023-07-16,4,824.64,0.0,False,False,824.64
25,10,2023-03-16,0,1024.36,0.0,False,False,1024.36
26,10,2023-10-06,7,1384.41,0.0,False,False,1384.41
27,10,2023-04-21,1,659.19,0.0,False,False,659.19
28,10,2023-08-22,6,802.99,0.0,False,False,802.99
29,10,2023-10-28,8,1062.73,0.0,False,False,1062.73
30,11,2023-11-18,10,1069.57,0.0,False,False,1069.57
31,11,2023-06-20,5,747.73,0.0,False,False,747.73
32,12,2023-10-17,3,1290.99,387.3,True,False,903.69
33,12,2023-07-28,1,1007.17,0.0,False,False,1007.17
34,12,2024-04-29,10,1122.0,0.0,False,False,1122.0
35,12,2023-10-27,4,1005.11,0.0,False,False,1005.11
36,12,2023-10-22,3,1026.22,307.87,True,False,718.35
37,13,2023-05-04,0,988.46,296.54,True,False,691.92
38,14,2023-08-23,2,682.29,0.0,False,False,682.29
39,14,2023-08-14,2,659.91,0.0,False,False,659.91
40,14,2023-08-20,2,1108.49,0.0,False,False,1108.49
41,14,2023-07-31,1,524.0,0.0,False,False,524.0
42,15,2023-05-23,2,763.58,0.0,False,False,763.58
43,15,2023-03-21,0,1083.35,0.0,False,False,1083.35
44,15,2023-04-18,1,522.27,156.68,True,False,365.59
45,16,2023-06-15,0,1182.63,0.0,False,False,1182.63
46,16,2023-06-22,0,961.3,0.0,False,False,961.3
47,16,2023-07-09,0,1149.13,0.0,False,False,1149.13
48,16,2023-07-01,0,817.14,0.0,False,False,817.14
49,16,2023-07-06,0,1266.22,0.0,False,False,1266.22
50,16,2023-06-17,0,951.61,0.0,False,False,951.61
51,16,2023-07-05,0,696.44,208.93,True,False,487.51
52,17,2023-11-11,5,619.83,0.0,False,False,619.83
53,17,2023-10-02,4,1162.61,0.0,False,False,1162.61
54,17,2023-09-29,3,837.59,0.0,False,False,837.59
55,18,2023-09-07,5,1061.1,0.0,False,False,1061.1
